Content,Video title,Video publish time,Duration,Thumbnail impressions,Thumbnail click-through rate (%),Views,Average view duration,Watch time (hours)
9uYgwcxuJpA,the new @aespa 'Switchblade' MV is out and you KNOW I had to hit this 😮‍💨#aespa #trending #shorts,"Aug 4, 2026",16,6722,2.65,2343,0:00:11,3.4256
rgKMv66SNP4,My pretty go when I'm in the chat 🗣️✨ GIRLSET Dance #short #kpopdance #dancecover #fypシ゚viral,"Jul 24, 2026",16,519,0.58,2160,0:00:11,3.6577
8en_R1NxCME,‘ANIMAL’ Choreography by Katseye 💋❤️‍🔥 #katseye #kpop #shorts,"Jul 30, 2026",34,1408,1.85,2120,0:00:20,7.3029
DnvfeeLEkgE,KATSEYE ‘Touch’ (캣츠아이) Official Dance #캣츠아이 #katseye_touch #ayodesci #fypシ゚viral #dance,"Aug 23, 2026",23,2327,5.24,1960,0:00:12,4.2762
voRjGkj80jM,‘never get over me’ ariana grande dance #ayodesci #arianagrande,"Aug 9, 2026",21,4772,3.88,1933,0:00:10,2.4485
97o4h21JM8g,#fyp #girlset #dancetrend #shorts #fypシ゚viral #reels #tiktok #fypシ゚,"Jul 26, 2026",16,550,3.45,1911,0:00:13,4.441
9EZLPxqJb-c,WE IN THE ‘CHAT’ GIRLSET NEW DANCE 💖🗣️ #fyp #girlset #dancetrend #shorts #fypシ゚viral,"Jul 24, 2026",16,420,0.24,1840,0:00:11,3.4555
w78Bo6GmHrc,Katseye ‘Gabriella’ Dance Practice #ayodesci #trending #youtubeshorts #goviral #ytshorts #ytviral,"Aug 5, 2026",30,5294,1.38,1838,0:00:20,5.5634
HMVHN2omVQE,'REDRED' Dance Cover 💸✨ #ayodesci #cortis #ayodesci #fypシ゚viral #trending #reels #shorts #tiktokfyp,"Aug 9, 2026",23,3491,2.61,1743,0:00:11,3.3061
k80q-LZYQLI,This KATSEYE 'Animal' x Camila Cabello 'My Oh My' Mashup is CRAZY 🙀🐾 #dance #dancecover #katseye,"Aug 23, 2026",35,2357,7.17,1722,0:00:12,4.1439
mFeXbzxo9l4,@cortis_bighit it's a 'motion' party you can not get in 🤣💵 #cortis_motion #cortis #코르티스 #trending,"Aug 4, 2026",15,2571,4.55,1676,0:00:09,2.5359
0mU25gm0bYE,IS ‘ANIMAL’ THE SONG OF THE SUMMER? 💥🦍 @katseyeworld #fypviralシ #shorts #eyekons,"Jul 30, 2026",33,1343,3.43,1584,0:00:15,4.7423
FN7mfZLBkvs,this is a ‘bad thing’ (bunny hop) ayodesci dance #trending #viralshorts #tiktokdance #reels #youtube,"Aug 8, 2026",16,3065,5.19,1558,0:00:18,3.8449
GrTsRczjj2s,FLO just dropped the video so I had to hit the ‘Remedied’ choreo 🤭💊 @flolikethis,"Jul 31, 2026",16,1443,10.33,1478,0:00:15,4.129
2Opq6xiIDKs,CORTIS (코르티스) “RED RED” ❤️‍🔥🥊#ayodesci #cortis #coer #kpop,"Aug 9, 2026",16,1696,6.01,1467,0:00:11,2.4299
VQvuaI5vLpI,ITS ME VIRAL DANCE @ILLIT_official #ayodesci #youtubeshorts #fypviralシ#trending #illit #shorts #아일릿,"Aug 26, 2026",27,1697,7.9,1466,0:00:15,3.9887
aMjq0YykFZw,@TateMcRae ’Exes’ Dance Cover #exes #shorts #tatemcraeedit #trending #reels #tiktokfyp #fypシ゚viral,"Aug 8, 2026",23,1307,4.06,1417,0:00:13,2.938
VRAk757UphM,DANIELA’S FLOOR WORK IN ICONIC BY MISTAKE IS INSANE 🥵🔥 #shorts #katseye,"Jul 11, 2026",19,1669,14.08,1376,0:00:17,3.7886
zJRgjdpW7Vo,Hearts2Hearts Lemon Tang dance 🍋 #hearts2hearts #lemontang #trending #kpop #dance,"Jul 17, 2026",16,875,4.11,1233,0:00:11,2.3621
eEX6zxdrU4w,Gabriella Kpop In Public #katseye #trending #kpop #fypviralシ,"Aug 8, 2026",36,12954,0.59,1222,0:00:13,2.9686
eRkg630cuGI,ARE YOU ‘GREENGREEN’ OR ‘REDRED’ 🌶️😅 #ayodesci,"Aug 9, 2026",23,1396,3.22,1072,0:00:13,2.171
gUH8otb2BTc,CHAT! Girlset Dance Break in the Research Lab?! 🧬🔥 #ayodesci #girlset #shorts,"Jul 29, 2026",16,1617,3.09,1062,0:00:12,2.0417
rflLLT1FhOI,‘SUPERNOVA’ CAN’T STOP 💥💫 #trending #fypシ゚viral #reels #youtubeshorts #fypviral #dance,"Aug 7, 2026",16,1212,4.79,1017,0:00:11,1.8435
G_cSbpT45uk,#ayodesci #trending #fypシ #reels #fypviralシ #youtubeshorts #shortsviral #shorts,"Aug 8, 2026",16,971,1.75,996,0:00:10,1.7607
fGjvD47O6nA,"Had to redo the GIRLSET ""CHAT"" choreo... did I eat this one? 😮‍💨🔥 #shorts #girlset","Jul 25, 2026",21,487,1.23,872,0:00:13,1.8934
KvG9D70iYZs,@GIRLSET WE IN THE CHAT BABES #fypviralシ #kpop #trending #dance,"Jul 31, 2026",30,1885,5.94,824,0:00:13,1.9857
y6GJUTKZEZ8,CHAT DOES THIS DANCE GOES HARD?! 💥🫦 #girlset #chat #kpopdancer @GIRLSET,"Jul 30, 2026",29,1272,4.17,722,0:00:13,1.8056
DtXAGFNB0ho,ARE YOU ICONIC BY MISTAKE #dance #tiktokdance,"Jul 3, 2026",20,254,2.36,720,0:00:15,1.9439
ZJvWCaq2HJA,TOO EASY 😮‍💨 | Tinashe Dance #dance #ayodesci #fypシ,"Jul 28, 2026",22,1542,2.2,675,0:00:13,1.5067
nlf3sNe_8Os,How many Katseye dances do you know?  🤫🍰 #fyp #viral #justdance #katseye #trending #danceshorts,"Aug 26, 2026",41,1044,5.08,566,0:00:17,1.5946
QVI-63B39TA,MAKE ME SWEAT 💦 JYP 'WET' Dance Cover #ayodesci #jyp #wet #jypark,"Aug 1, 2026",16,1047,5.25,429,0:00:14,0.9136
l8ChNdRTbYI,Katseye ‘Pinky Up’ x Meovv ‘Hit Em’ Dance Challenge #katseye #kpop #meovv,"Aug 3, 2026",30,1024,6.15,397,0:00:16,1.1697
FibgBttC4m8,HEARTS2HEARTS LEMON TANG DANCE COVER 🍋✨#ayodesci #hearts2hearts #lemontang #kpopinpublic #dancefail,"Jul 22, 2026",16,604,0.83,347,0:00:13,0.48
